"e-9541-text","mMx2LUixlnN_Fu45JpFB src","e-9541-text 2","e-9541-text 3","e-9541-text href","e-9541-text 4","standalone-ellipsis-one-line","standalone-ellipsis-one-line href","e-9541-text 5","e-9541-text 6","e-9541-text 7","e-9541-text href 2","SgFtsvn3upY_tG6mnt4n"
"11","https://i.scdn.co/image/ab67616d00004851ff1af2a5858b99c7eb30c638","Are you there?","Ayo Maff","https://open.spotify.com/artist/4kuHnKdDObYPKYPcyJC4f6","734,491","MAFFIAN","https://open.spotify.com/album/34MCeC9R3RzTxf3vzEJmWi","2:36","","","",""
"12","https://i.scdn.co/image/ab67616d00004851e82e7be3ac78f968247616ae","Dealer","Ayo Maff","https://open.spotify.com/artist/4kuHnKdDObYPKYPcyJC4f6","693,887","Dealer","https://open.spotify.com/album/3RShBBcnQmqfmBJgmfz3or","3:00",",","Fireboy DML","https://open.spotify.com/artist/75VKfyoBlkmrJFDqo1o2VY",""
"13","https://i.scdn.co/image/ab67616d000048515e9b08109120e18c41a7b3e2","Bad Girl (feat. Asake)","Wizkid","https://open.spotify.com/artist/3tVQdUvClmAT7URs9V3rsp","682,653","Morayo","https://open.spotify.com/album/3dLXfyaG1kYeSQknLs2LP1","2:54",",","Asake","https://open.spotify.com/artist/3a1tBryiczPAZpgoZN9Rzg",""
"14","https://i.scdn.co/image/ab67616d00004851b256f5717dc8316248adb981","who does that? (feat. Bella Shmurda)","FOLA","https://open.spotify.com/artist/0FK1hXdXst70HD11n5J26z","678,858","what a feeling","https://open.spotify.com/album/0NWBna7snlHKH0NJ2f3Skp","2:39",",","Bella Shmurda","https://open.spotify.com/artist/7kK5badbqOjd8WlT2XWMeM",""
"15","https://i.scdn.co/image/ab67616d00004851d091d6d837bf20979375f7c2","Favour","Lawrence Oyor","https://open.spotify.com/artist/5VjrwmzHaE5YI54qdzIoiI","675,849","Favour","https://open.spotify.com/album/6MRFqruKFqEQlSl6P4Ge1k","5:57","","","",""
"16","https://i.scdn.co/image/ab67616d000048512e666a1b00d7ee77ea75a2af","HAUSAPIANO - Remix","Kvng Vinci","https://open.spotify.com/artist/2toONwOXJt03vVKmJZs30X","669,595","HAUSAPIANO (Remix)","https://open.spotify.com/album/2vXERVitZkqH0B3YIjlhtJ","2:17",",","Zerrydl","https://open.spotify.com/artist/3sHq8pB8IoGvnatMuoixwd",""
"17","https://i.scdn.co/image/ab67616d00004851ee1b0de787635385d58c73b8","Panic","Ayo Maff","https://open.spotify.com/artist/4kuHnKdDObYPKYPcyJC4f6","603,359","Panic","https://open.spotify.com/album/2gKeZUFIit84esbIFAxbUv","2:32","","","","E"
"18","https://i.scdn.co/image/ab67616d000048511ea0c62b2339cbf493a999ad","Not Like Us","Kendrick Lamar","https://open.spotify.com/artist/2YZyLoL8N0Wb9xBt1NhZWg","578,977","Not Like Us","https://open.spotify.com/album/5JjnoGJyOxfSZUZtk2rRwZ","4:34","","","","E"
"19","https://i.scdn.co/image/ab67616d00004851d1f30d725a79cb694d80044a","Can't Breathe","Llona","https://open.spotify.com/artist/3hz0ZIs5SlEnlK0ML7FmNc","576,327","Homeless","https://open.spotify.com/album/3FKJJUAE8VhRVFvrRPQuaP","2:22","","","","E"
"20","https://i.scdn.co/image/ab67616d00004851fa058974e25c095bcf528028","Stronger","Young Jonn","https://open.spotify.com/artist/4JM1zsVj1pt38Q8mhv5teI","571,965","Jiggy Forever","https://open.spotify.com/album/6xr2tWr8pg5ndECtOD66lp","2:21","","","",""
"21","https://i.scdn.co/image/ab67616d00004851acf8615af25342526c651b46","Constantly","Hyce","https://open.spotify.com/artist/1KQuzZH1ix85vt0n3iiRTA","566,000","Constantly","https://open.spotify.com/album/6tqG51134jDxxuWMaEgn8O","3:13",", ,","BoyPee","https://open.spotify.com/artist/1zjv7k3fmK1MJIA2CdaCAh",""
"22","https://i.scdn.co/image/ab67616d00004851c6fc6f8b30fad679a22b05ce","WHY LOVE","Asake","https://open.spotify.com/artist/3a1tBryiczPAZpgoZN9Rzg","564,185","WHY LOVE","https://open.spotify.com/album/5bQKiaMHTdJcn4fxPs9MCk","3:30","","","","E"
"23","https://i.scdn.co/image/ab67616d000048517c45c1c29c18a5e0b46fc117","MMS","Asake","https://open.spotify.com/artist/3a1tBryiczPAZpgoZN9Rzg","543,834","Lungu Boy","https://open.spotify.com/album/3kS42vslfpYnxWkGN4JvlW","3:39",",","Wizkid","https://open.spotify.com/artist/3tVQdUvClmAT7URs9V3rsp",""
